info,question,best_guess_label,parent_label
break_0,what flights are available tomorrow from denver to philadelphia,set_property_satisfaction,comparison
break_1,show me the afternoon flights from washington to boston,set_property_satisfaction,comparison
break_2,show me the flights from atlanta to baltimore,set_property_satisfaction,comparison
break_3,i want a flight from houston to memphis on tuesday morning,qualitative_property_retrieval,retrieval
break_4,what are the cheapest one way flights from atlanta to pittsburgh,superlative,comparison
break_5,what ground transportation is available from the pittsburgh airport to downtown and how much does it cost,qualitative_property_multihop_retrieval,retrieval
break_6,flight information from san francisco to pittsburgh,qualitative_property_retrieval,retrieval
break_7,what flights are available from san francisco to pittsburgh on monday morning,set_property_satisfaction,comparison
break_9,i'm traveling from boston to atlanta and i'd like to go sometime after 5pm but i want to know what kind of airplane it's on,qualitative_property_multihop_retrieval,retrieval
break_11,what does ff mean,definitional,definitional
break_12,well i'll try last time tell me the kind of aircraft united airlines flies from denver to san francisco before 10 o'clock in the morning,qualitative_property_multihop_retrieval,retrieval
break_13,show me the flights from dallas to boston,set_property_satisfaction,comparison
break_14,i need a flight from philadelphia to dallas,qualitative_property_retrieval,retrieval
break_15,what is the round trip first class fare on united from boston to san francisco,numeric_retrieval,retrieval
break_16,i'd like also to book a one way flight from pittsburgh to atlanta the cheapest one on july twentieth,superlative,comparison
break_17,find me the cheapest one way fare i can get from boston to denver,superlative,comparison
break_18,flights from baltimore to san francisco,set_property_satisfaction,comparison
break_19,i want to fly from baltimore to dallas round trip,qualitative_property_retrieval,retrieval
break_20,what are all the flights into atlanta's airport,set_retrieval,retrieval
break_21,show me the flights from philadelphia to dallas,set_property_satisfaction,comparison
break_22,what flights from seattle to salt lake city,set_property_satisfaction,comparison
break_23,what is the earliest flight from pittsburgh to san francisco,superlative,comparison
break_24,list the flights from st. paul to san jose and from st. paul to houston,set_property_satisfaction,comparison
break_25,are there any flights from pittsburgh to boston that leave between noon and 5 o'clock,boolean_retrieval,retrieval
break_26,what is ord,definitional,definitional
break_27,list all nonstop flights from los angeles to pittsburgh which arrive before 5pm on tuesday,set_property_satisfaction,comparison
break_28,show me about the ground transportation in boston,definitional,definitional
break_29,what's the earliest flight from boston to bwi that serves lunch,superlative,comparison
break_30,how many flights arrive at general mitchell international,numeric_retrieval,retrieval
break_31,where does canadian airlines international fly,qualitative_property_retrieval,retrieval
break_32,what ground transportation is available from the pittsburgh airport to the town,set_retrieval,retrieval
break_33,what's the capacity of an f28,numeric_retrieval,retrieval
break_34,what car rentals are available next sunday from denver airport,set_retrieval,retrieval
break_35,i'd like to book the cheapest one way flight from pittsburgh to atlanta on july twentieth,superlative,comparison
break_36,show flights leaving miami to cleveland on us air that leave after noon,set_property_satisfaction,comparison
break_37,i want a flight from atlanta to washington that leaves after 3pm,qualitative_property_multihop_retrieval,retrieval
break_38,show me the flights from cleveland to memphis,set_property_satisfaction,comparison
break_39,what does the fare code qw mean,definitional,definitional
break_40,show me all the flights from cincinnati to toronto,set_property_satisfaction,comparison
break_42,i'd like to know the latest flight from atlanta to boston,superlative,comparison
break_43,show flights from memphis to las vegas,set_property_satisfaction,comparison
break_44,could you please find me a nonstop flight from atlanta to baltimore on a boeing 757 arriving at 7pm,set_property_satisfaction,comparison
break_45,what flights from st. paul to kansas city on friday with supper served,set_property_satisfaction,comparison
break_46,could you tell me if there is ground transportation between the boston airport and boston downtown,boolean_retrieval,retrieval
break_47,is it possible for me to fly from baltimore to san francisco,boolean_retrieval,retrieval
break_48,what is the first class fare for a round trip dallas to denver,numeric_retrieval,retrieval
break_49,list all flights on continental leaving seattle on sunday after 430pm,set_property_satisfaction,comparison
break_50,all flights and fares from pittsburgh to dallas round trip after 12pm less than 1100 dollars,set_property_satisfaction,comparison
break_51,what flights are available from boston to dallas,set_property_satisfaction,comparison
break_52,i need a cheap flight from baltimore to san francisco,set_property_satisfaction,comparison
break_53,a first class flight on american to san francisco on the coming tuesday,set_property_satisfaction,comparison
break_59,what are the different classes that an airline offers,set_retrieval,retrieval
break_61,what is fare code qo mean,definitional,definitional
break_184,what does fare code qx mean,definitional,definitional
break_191,what does code y stand for,definitional,definitional
break_229,what does ewr stand for,definitional,definitional
break_235,define airline us,definitional,definitional
break_434,what does iah mean,definitional,definitional
break_456,how many united flights are there to san francisco,counting,math
break_457,Which shape is a different color from the others?,set_difference,comparison
break_458,are there more red spheres than metal objects?,counting,math
break_459,What color is the shiny object that has no sides?,set_property_satisfaction,comparison
break_460,"is the smallestt item shown, that also matches the shape of the largest item shown, also made of the same material?",qualitative_comparison,comparison
break_461,Are there any items larger than the yellow cylinder?,set_property_satisfaction,comparison
break_462,How many boxes are there in the picture?,counting,math
break_463,"What color is the smallestt, shiny object?",qualitative_property_retrieval,retrieval
break_464,What shape is the small blue object?,qualitative_property_retrieval,retrieval
break_465,How many other objects are made from the same type of material as the object that is the most far in the back?,counting,math
break_466,How many red blocks do you see?,counting,math
break_467,"There are four items that share one color, what is that color?",set_property_satisfaction,comparison
break_468,Are more objects green than any other color?,numeric_comparison,comparison
break_469,What shape is ther only one of?,set_property_satisfaction,comparison
break_470,What material is the small object that is behind the large red object and is of the same shape?,qualitative_property_multihop_retrieval,retrieval
break_471,Is the smallestt sphere the same color of the largest cube?,boolean_and,boolean
break_472,If you took one purple ball out of the picture how many would be left?,counting,math
break_475,how many shapes are partially hidden?,counting,math
break_476,How many objects are spheres?,counting,math
break_1609,Are there more purple shapes than cylinders?,numeric_comparison,comparison
break_2672,when did chris bention die?,datetime_retrieval,retrieval
break_2673,what is the population of india 2011?,numeric_retrieval,retrieval
break_2674,population of india in 2011?,numeric_retrieval,retrieval
break_2675,what is the population of india in 2011?,numeric_retrieval,retrieval
break_2676,who was the second indian women climbed mount everest?,qualitative_property_retrieval,retrieval
break_2677,the highest point of kansa's elevation?,superlative,comparison
break_2678,what instruments do antonio vivaldi play?,qualitative_property_retrieval,retrieval
break_2679,who wrote the book brown bear brown bear what did you see?,qualitative_property_retrieval,retrieval
break_2680,who is the present chief justice of supreme court?,qualitative_property_retrieval,retrieval
break_2681,who did john edwards marry?,qualitative_property_retrieval,retrieval
break_2682,name the senators from louisisana?,qualitative_property_retrieval,retrieval
break_2683,who are the senators representing louisiana?,qualitative_property_retrieval,retrieval
break_2684,what band did steve winwood sing for?,qualitative_property_retrieval,retrieval
break_2685,when did jean armour and robert burns get married?,datetime_retrieval,retrieval
break_2686,who was the first person to develop the theory of evolution?,superlative,comparison
break_2687,what political party did abraham lincoln represent in 1860?,qualitative_property_retrieval,retrieval
break_2688,what party supported abraham lincoln in 1860?,qualitative_property_retrieval,retrieval
break_2689,who was the first black woman to win a nobel prize in 1993 in literature?,superlative,comparison
break_2690,when did desi arnaz die?,datetime_retrieval,retrieval
break_2691,what is rosemary clooney to george clooney?,qualitative_comparison,comparison
break_2692,when was michael jackson first hit?,superlative,comparison
break_2693,what is the language in burkina faso?,qualitative_property_retrieval,retrieval
break_2694,what year did the first setters arrive in australia?,datetime_retrieval,retrieval
break_2695,what jay-z's newest album?,superlative,comparison
break_2696,what is the population of cobb county georgia?,numeric_retrieval,retrieval
break_2697,who was nelson mandela first wife?,superlative,comparison
break_2698,what was the title of philip pullmans first book?,superlative,comparison
break_2699,prime minister who took command during the battle of britain?,qualitative_property_retrieval,retrieval
break_2700,british prime minister during the battle of britain?,qualitative_property_retrieval,retrieval
break_2701,which mountain peak is the tallest in the united state and which of the 50 states is it located?,superlative,comparison
break_2702,what type of instruments does cody simpson play?,qualitative_property_retrieval,retrieval
break_2703,what year did martin luther king receive his doctorate degree from boston university?,datetime_retrieval,retrieval
break_2704,who is adobe ceo?,qualitative_property_retrieval,retrieval
break_2705,when did wylie drapers die?,datetime_retrieval,retrieval
break_2706,what was the name of ben franklin wifes name?,qualitative_property_retrieval,retrieval
break_2707,what country is on the north of china and separates it from russia?,set_intersection,comparison
break_2708,where was george lopez born?,qualitative_property_retrieval,retrieval
break_2709,what are the major cities of bahrain?,qualitative_property_retrieval,retrieval
break_2710,what country is bordered by colmbia in the north and peru in the south?,set_intersection,comparison
break_2711,who did holly marie combs marry?,qualitative_property_retrieval,retrieval
break_2712,what is edgar allan poe's cousin that he married name?,qualitative_property_retrieval,retrieval
break_2713,what is jason derulo's culture?,qualitative_property_retrieval,retrieval
break_2714,georgia currently has how many state senators?,numeric_retrieval,retrieval
break_2715,what years did micky mantle play for the yankees?,datetime_retrieval,retrieval
break_2716,which country is bujmbura in?,qualitative_property_retrieval,retrieval
break_2717,what major rivers cuts through egypt?,qualitative_property_retrieval,retrieval
break_2718,what major river runs through eygpt?,qualitative_property_retrieval,retrieval
break_2719,who was chris benoits wife?,qualitative_property_retrieval,retrieval
break_2720,what was chris benoit wife name?,qualitative_property_retrieval,retrieval
break_2721,who was penelope and odysseus' son?,qualitative_property_retrieval,retrieval
break_2722,who was odysseus and penelope's son?,qualitative_property_retrieval,retrieval
break_2723,who was the sculptor that created the merlion in singapore?,qualitative_property_retrieval,retrieval
break_2724,what is the capital city of venezuela?,qualitative_property_retrieval,retrieval
break_2725,what was jim carrey's first film?,superlative,comparison
break_2726,when did kobe bryant win his first mvp?,datetime_retrieval,retrieval
break_2727,what was the age of alexander gramhem bell when he died?,numeric_retrieval,retrieval
break_2728,what age did alexander graham ball die at?,numeric_retrieval,retrieval
break_2729,who was the first african american mlb player in the world?,superlative,comparison
break_2730,when was the 17th amendment passed?,datetime_retrieval,retrieval
break_2731,what year was 17th amendment passed?,datetime_retrieval,retrieval
break_2732,what are england's three biggest cities?,superlative,comparison
break_2733,where is drew seeley from?,qualitative_property_retrieval,retrieval
break_2734,who replaced nikita khrushchev as general secretary of the soviet union?,qualitative_property_retrieval,retrieval
break_2735,who replaced nikita khrushchev general secretary of soviet union?,qualitative_property_retrieval,retrieval
break_2736,who was the highest goal scorer in the 2002 world cup?,superlative,comparison
break_2737,who is the first president winner in india?,superlative,comparison
break_2738,who is the first president of republic of india?,superlative,comparison
break_2739,where did the president william taft go to college?,qualitative_property_retrieval,retrieval
break_2740,where did william howard taft go to college?,qualitative_property_retrieval,retrieval
break_2741,what is michael jackson's oldest son name?,qualitative_property_retrieval,retrieval
break_2742,what awards and honours did john steinbeck receive?,qualitative_property_retrieval,retrieval
break_2743,what river forms the boarder between the states of washington and oregon?,qualitative_property_retrieval,retrieval
break_2744,who did chris perez marry after selena quintanilla died?,qualitative_property_retrieval,retrieval
break_2745,what is the airport in sydney australia called?,qualitative_property_retrieval,retrieval
break_2746,what is the name of the airport in sydney australia?,qualitative_property_retrieval,retrieval
break_2747,what is a country in africa that borders sedan and kenya?,set_intersection,comparison
break_2748,what country in africa that borders sudan and kenya?,set_intersection,comparison
break_2749,who is the first minister of scotland?,qualitative_property_retrieval,retrieval
break_2750,name of the current first minister of scotland?,qualitative_property_retrieval,retrieval
break_2751,who does the voice of carl on phineas and ferb?,qualitative_property_retrieval,retrieval
break_2752,when did william webb ellis die?,datetime_retrieval,retrieval
break_2753,who are sarah palins mom and dad?,qualitative_property_retrieval,retrieval
break_2754,who plays marty from life with derek?,qualitative_property_retrieval,retrieval
break_2755,who plays marty on life with derek?,qualitative_property_retrieval,retrieval
break_2756,which city is the louisiana university in?,qualitative_property_retrieval,retrieval
break_2757,who plays as jake ryan in hannah montana?,qualitative_property_retrieval,retrieval
break_2758,who plays jake ryan in hannah montana?,qualitative_property_retrieval,retrieval
break_2759,what state did crispus attucks die in?,qualitative_property_retrieval,retrieval
break_2760,from where did dr ben carson graduate?,qualitative_property_retrieval,retrieval
break_2761,which lake borders ohio pennsylvania and new york?,set_intersection,comparison
break_2762,when was tony romo first year to play for the cowboys?,datetime_retrieval,retrieval
break_2763,whose mariah carey's husband?,qualitative_property_retrieval,retrieval
break_2765,first female athlete on wheatis box?,superlative,comparison
break_2766,what is the neighbouring states for south carolina?,qualitative_property_retrieval,retrieval
break_2767,who was the dominican republic first president?,superlative,comparison
